                PID              AREA_1           PERIMETER ZONING 
 690966.00000000000         13071.34625           510.88810 OS     
      0.00000000000         13045.11250          1714.45583 U      
 871301.00000000000         12941.16750           514.00028 M2     
 365684.00000000000         12874.70625           485.49186 CDA    
 134114.00000000000         12868.59250           477.39480 A      
 278796.00000000000         12819.06750           571.17129 M1     
 563825.00000000000         12763.01125           618.89157 M2     
 390765.00000000000         12740.55250          1373.06501 OS     
 134114.00000000000         12732.26500           610.36968 A      
 373456.00000000000         12700.37000           451.19957 I      
 681270.00000000000         12628.06000           455.34789 R2     
 597245.00000000000         12540.93375           569.95504 M2     
 819094.00000000000         12533.39500           474.26564 OS     
 145029.00000000000         12466.64125           513.04011 R2S    
 387662.00000000000         12466.08125           481.79503 I      
 523803.00000000000         12311.90500           679.11011 R1L    
 279232.00000000000         12307.39375           445.61094 MUC    
 423996.00000000000         12301.77500           443.50183 I      
 910927.00000000000         12279.60750           443.37499 R3     
 853176.00000000000         12272.21125           577.54153 M2     
 388157.00000000000         12241.50000           450.42807 I      
 396770.00000000000         12171.91000           535.83316 R1L    
 279018.00000000000         12047.83250           466.41138 M1     
 721688.00000000000         12017.43250           434.11709 M2     
 663823.00000000000         12012.39875           579.26278 I      
 373126.00000000000         11961.17000           542.08992 I      
 440545.00000000000         11937.84125           505.23055 R1L    
 145896.00000000000         11872.94250           502.90890 R1L    
 145300.00000000000         11816.22000          1108.96246 R1S    
 387613.00000000000         11681.96625           428.52191 C2     
 365221.00000000000         11566.51625           430.87791 R3     
 356261.00000000000         11554.62875           439.84771 I      
 469841.00000000000         11543.90000           430.14193 CDA    
      0.00000000000         11537.39250          2353.96035 U      
 886390.00000000000         11492.46500           487.48957 M2     
 387605.00000000000         11491.53375           433.85331 C2     
 739128.00000000000          9892.41625           720.34241 CDA    
 193177.00000000000         11416.81750           598.40973 R1L    
 825778.00000000000         11376.30250           452.84284 R1L    
 421669.00000000000         11369.75750           417.50850 CDA    
 387399.00000000000         11365.21125           430.88403 C2     
 849521.00000000000         11357.15000           696.16203 M2     
 690966.00000000000         11348.12375          1819.68389 OS     
      0.00000000000         11224.54875           648.70498 U      
 646356.00000000000         10485.74000           621.77213 OS     
 392852.00000000000         11178.03625           427.29127 I      
 406736.00000000000         11119.22875           448.91169 M1     
 843813.00000000000         11100.65375           427.29261 OS     
 388330.00000000000         11027.65250           562.72327 C2     
 191916.00000000000         10967.59500           504.66068 R3     
 640847.00000000000         10868.51125           512.12122 OS     
 387407.00000000000         10833.77375           421.30524 C2     
 134114.00000000000         10819.94750           414.57874 A      
 839605.00000000000         10786.50250           413.88696 M2     
 588533.00000000000         10765.86625           447.91779 R1L    
 825950.00000000000         10709.99000           569.23526 CDA    
 387449.00000000000         10659.58250           424.81868 C2     
 387779.00000000000         10652.84625           486.81777 C3     
 396796.00000000000         10644.27125           419.30876 OS     
